step,pair,freq,total_tokens,compression,time_sec
2213,[C][=C][C][=C][C][=C][Ring1][=Branch1][O][Ring1][=Branch2],1753,20123198,4.4927,290.4
2214,[C][=C][C][Branch1][Ring2],1752,20121446,4.4931,290.5
2215,[C][N][C][C][N][Branch2][Branch1],1750,20119696,4.4935,290.6
2216,[Branch1][C][/C],1749,20117947,4.4939,290.7
2217,[C@@H1][Branch1][C][C][C][C],1749,20116198,4.4943,290.8
2218,[N][C][C][N][Branch1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][=N],1748,20114450,4.4947,290.9
2219,[N][C][=Branch1][C][=O][N][C][=C][C][=C],1747,20112703,4.4951,291
2220,[C][=C][Branch1][C][C][C],1747,20110956,4.4955,291
2221,[Ring2][Branch1][C],1746,20109210,4.4959,291.1
2222,[C@@H1][Branch1][S],1745,20107465,4.4962,291.2
2223,[C][Ring2][Branch1],1744,20105721,4.4966,291.3
2224,[C][C][=C][C][=C][Branch2][Ring1][=Branch1],1743,20103978,4.497,291.4
2225,[C][N][C][C][C][Branch1],1742,20102236,4.4974,291.5
2226,[C][=N][C][Branch1][=N],1742,20100494,4.4978,291.6
2227,[=N][C][=C][C][=C][C][=C][Ring1][=Branch1][C],1739,20098755,4.4982,291.7
2228,[N][=C][Branch2][Ring1][#Branch1],1739,20097016,4.4986,291.8
2229,[O][C][Ring1][=C],1738,20095278,4.499,291.9
2230,[N][C][=C][Branch1][=Branch1][C][Branch1][C][N][=O],1736,20093542,4.4994,292
2231,[C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1],1732,20091810,4.4997,292.1
2232,[N][C][=Branch1][C][=O][C][N],1731,20090079,4.5001,292.2
2233,[C@@][Branch1][C][C][C],1730,20088349,4.5005,292.3
2234,[N][C][=C][C][Branch1][C][Cl][=C],1729,20086620,4.5009,292.4
2235,[C][Ring1][Branch1][C][C],1728,20084892,4.5013,292.5
2236,[C][C][O][C][=N],1726,20083166,4.5017,292.6
2237,[C@@H1][Branch2][Branch1],1725,20081441,4.5021,292.7
2238,[O][=C][Branch2][Ring1][C][N],1725,20079716,4.5025,292.8
2239,[C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2],1723,20077993,4.5028,292.9
2240,[/C][=Branch2][Ring2],1721,20076272,4.5032,293.1
2241,[S][=Branch1][C][=O][=Branch1][C][=O][O],1716,20074556,4.5036,293.2
2242,[C][N][C][C][N][Branch1][C][C][C][C][Ring1][#Branch1],1716,20072840,4.504,293.2
2243,[C][N][C][=C][C][=N],1715,20071125,4.5044,293.3
2244,[N][C@H1][Branch1][C][C],1715,20069410,4.5048,293.4
2245,[NH1][Ring1][=N],1714,20067696,4.5052,293.5
2246,[C][=C][Branch1][=Branch1][C][Branch1][C][N][=O],1710,20065986,4.5055,293.7
2247,[Ring2][C][C][O][C][C],1710,20064276,4.5059,293.8
2248,[#C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],1710,20062566,4.5063,293.9
2249,[N][Branch2][Ring1][#Branch2],1708,20060858,4.5067,293.9
2250,[O][=C][Branch1][N],1706,20059152,4.5071,294
2251,[C][=C][C][=C][Branch2][Ring2][=Branch1],1706,20057446,4.5075,294.1
2252,[N][Branch2][Ring1][=Branch1],1704,20055742,4.5078,294.2
2253,[C][=C][Ring1][Branch1][C][=Branch1][C][=O],1701,20054041,4.5082,294.3
2254,[N][=C][Branch1][Ring1][C][#N],1700,20052341,4.5086,294.4
2255,[#C][N][C][=Branch1][C][=O][O][C][Branch1][C][C][Branch1][C][C],1700,20050641,4.509,294.5
2256,[O][=C][Branch2][Ring1][O],1699,20048942,4.5094,294.6
2257,[N][C][C@H1][Branch1][C][O],1699,20047243,4.5097,294.8
2258,[C@@H1][Branch1][C][N],1698,20045545,4.5101,294.9
2259,[N][=C][N][Ring1][Branch1][C],1697,20043848,4.5105,295
2260,[Branch1][C][F][C][Branch1][C][F],1696,20042152,4.5109,295.1
2261,[C@][Ring1][#Branch1][Branch1][C][C][C@H1],1696,20040456,4.5113,295.2
